i,g,D_i_g_max
1,grave,4
1,leve,31
1,moderado,11
2,grave,6
2,leve,37
2,moderado,13
3,grave,4
3,leve,30
3,moderado,11
4,grave,4
4,leve,24
4,moderado,9
5,grave,3
5,leve,20
5,moderado,7
6,grave,5
6,leve,35
6,moderado,12
7,grave,3
7,leve,21
7,moderado,7
8,grave,6
8,leve,42
8,moderado,15
9,grave,4
9,leve,27
9,moderado,9
10,grave,3
10,leve,21
10,moderado,7
11,grave,4
11,leve,29
11,moderado,10
12,grave,6
12,leve,37
12,moderado,13
13,grave,6
13,leve,44
13,moderado,15
14,grave,11
14,leve,77
14,moderado,27
15,grave,6
15,leve,38
15,moderado,14
16,grave,16
16,leve,107
16,moderado,37
17,grave,5
17,leve,32
17,moderado,11
18,grave,4
18,leve,28
18,moderado,10
19,grave,2
19,leve,11
19,moderado,4
20,grave,1
20,leve,8
20,moderado,3
21,grave,3
21,leve,18
21,moderado,6
22,grave,4
22,leve,29
22,moderado,10
23,grave,3
23,leve,19
23,moderado,6
24,grave,22
24,leve,147
24,moderado,52
25,grave,39
25,leve,256
25,moderado,90
26,grave,6
26,leve,37
26,moderado,13
27,grave,3
27,leve,18
27,moderado,6
28,grave,21
28,leve,141
28,moderado,49
29,grave,4
29,leve,30
29,moderado,11
30,grave,19
30,leve,126
30,moderado,44
31,grave,4
31,leve,23
31,moderado,8
32,grave,1
32,leve,10
32,moderado,4
33,grave,64
33,leve,426
33,moderado,149
34,grave,29
34,leve,196
34,moderado,69
35,grave,76
35,leve,501
35,moderado,176
36,grave,2
36,leve,12
36,moderado,4
