id,nombre,comuna,lat,lon,Camas2023,Altitud_m,categoria,Cap_1,Cap_2,Cap_3,Cap_4,Cap_5,Cap_6,Cap_7
1,Hospital Claudio Vicuña (San Antonio),San Antonio,-33.588809,-71.608623,164,55.0,antiguo_alto,82,90,98,106,114,123,131
2,Clínica San Julián,San Antonio,-33.584329,-71.611996,13,19.0,tsunami_flood,0,0,0,0,0,0,0
3,Clínica San Antonio,San Antonio,-33.58032,-71.608864,28,15.0,tsunami_flood,0,0,0,0,0,0,0
4,Hospital San José (Casablanca),Casablanca,-33.3144575,-71.4155514,6,258.0,bajo_publico,1,2,2,3,3,4,4
5,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Valparaíso,-33.05679,-71.58962,155,175.0,antiguo_alto,77,85,93,100,108,116,124
6,Hospital de Quilpué,Quilpué,-33.051961,-71.433933,146,139.0,moderno_alto,124,128,132,137,140,143,146
7,Hospital Carlos Van Buren (Valparaíso),Valparaíso,-33.050258,-71.611098,363,19.0,tsunami_vertical,0,0,72,108,145,181,217
8,Clínica Los Carrera,Quilpué,-33.048513,-71.436021,76,114.0,privado,60,64,68,72,76,76,76
9,Clínica Valparaíso,Valparaíso,-33.045228,-71.611095,63,9.0,tsunami_flood,0,0,0,0,0,0,0
10,"Hospital Juana Ross de Edwards (Peñablanca, Villa Alemana)",Villa Alemana,-33.03779,-71.35684,81,158.0,bajo_publico,24,30,38,44,51,56,60
11,Hospital Dr. Gustavo Fricke (Viña del Mar),Viña del Mar,-33.0294,-71.541725,558,10.0,tsunami_vertical,0,0,111,167,223,279,334
12,Hospital Clínico Viña del Mar,Viña del Mar,-33.029048,-71.539064,93,12.0,tsunami_flood,0,0,0,0,0,0,0
13,Clínica Miraflores,Viña del Mar,-33.027116,-71.531387,50,13.0,tsunami_flood,0,0,0,0,0,0,0
14,Instituto de Seguridad del Trabajo,Viña del Mar,-33.026528,-71.552858,83,12.0,tsunami_flood,0,0,0,0,0,0,0
15,Hospital Del Salvador de Valparaíso,Valparaíso,-33.021285,-71.642513,103,7.0,tsunami_flood,0,0,0,0,0,0,0
16,Clínica Ciudad del Mar (ex AvanSalud),Viña del Mar,-33.00999,-71.549408,109,11.0,tsunami_flood,0,0,0,0,0,0,0
17,Hospital Santo Tomás (Limache),Limache,-32.99864,-71.26843,57,86.0,bajo_publico,17,21,26,31,35,39,42
18,Hospital Naval Almirante Neff,Viña del Mar,-32.998382,-71.54382,381,63.0,antiguo_alto,190,209,228,247,266,285,304
19,Hospital Centro Geriátrico Paz de la Tarde (Limache),Limache,-32.98786,-71.27724,64,87.0,bajo_publico,19,24,30,35,40,44,48
20,Clínica Reñaca,Viña del Mar,-32.983582,-71.533631,158,168.0,privado,126,134,142,150,158,158,158
21,Hospital Biprovincial Quillota Petorca,Quillota,-32.87993,-71.257745,290,121.0,moderno_alto,246,255,263,272,278,284,290
22,Clínica Río Blanco,Los Andes,-32.844691,-70.601882,27,812.0,privado,21,22,24,25,27,27,27
23,Hospital San Francisco (Llaillay),Llaillay,-32.84277,-70.95495,37,388.0,bajo_publico,11,14,17,20,23,25,27
24,Hospital San Juan de Dios (Los Andes),Los Andes,-32.829664,-70.59643,168,827.0,moderno_alto,142,147,152,157,161,164,168
25,Hospital Dr. Mario Sánchez Vergara (La Calera),Calera,-32.7926,-71.20454,45,204.0,bajo_publico,13,17,21,24,28,31,33
26,Clínica Los Leones,Calera,-32.790085,-71.183588,35,221.0,privado,28,29,31,33,35,35,35
27,Hospital Adriana Cousiño (Quintero),Quintero,-32.77924,-71.53116,31,17.0,tsunami_flood,0,0,0,0,0,0,0
28,Hospital San Camilo de San Felipe,San Felipe,-32.74977,-70.708992,221,662.0,moderno_alto,187,194,201,207,212,216,221
29,Hospital San Antonio (Putaendo),Putaendo,-32.622065,-70.717848,28,823.0,bajo_publico,8,10,13,15,17,19,21
30,Hospital San Agustín (La Ligua),La Ligua,-32.45048,-71.23798,59,65.0,bajo_publico,17,22,27,32,37,41,44
31,Hospital Dr. Víctor Hugo Moll (Cabildo),Cabildo,-32.428287,-71.067794,21,180.0,bajo_publico,6,7,9,11,13,14,15
32,Hospital de Petorca,Petorca,-32.25196,-70.92884,18,504.0,bajo_publico,5,6,8,9,11,12,13
