Comuna,Población_2024,Porcentaje_Región,Densidad_hab_km2,Sectores_Distritos,Índice_Envejecimiento,Fuente,Notas
Viña del Mar,334248,17.7%,3520,"Centro, Reñaca, Aromolo, Corazones, Merced, San Agustín",No disponible,INE Censo 2024,Zona metropolitana costera; población flotante turística significativa
Valparaíso,284480,15.0%,2520,"Puerto, Almendral, Playa Ancha, Cordillera",No disponible,INE Censo 2024,Centro urbano principal; pobreza multidimensional 19.1% (2022)
Quilpué,170667,9.0%,415,"Centro, Villa Alemana límite, Limache límite",No disponible,INE Censo 2024,Expansión residencial reciente; conurbación
Villa Alemana,130605,6.9%,1350,"Centro, Quillota límite, Limache límite",No disponible,INE Censo 2024,Densidad media-alta
San Antonio,94153,5.0%,185,"Centro, El Membrillo, Mejillones, Cartagena límite",No disponible,INE Censo 2024 / BCN,Zona portuaria; baja densidad relativa
Quillota,98063,5.2%,245,"Centro, La Cruz límite, Limache límite, Quilpué límite",No disponible,INE Censo 2024 / BCN,Interior central; zona de agricultura
San Felipe,84094,4.4%,145,"Centro, Los Andes límite, Panquehue, Llay Llay",No disponible,INE Censo 2024 / BCN,Zona Aconcagua; centro urbano menor
Los Andes,71176,3.8%,35,"Centro, San Felipe límite, Calle Larga, Rosauro Lyons",No disponible,INE Censo 2024 / BCN,Cordillera; dispersión muy baja
Limache,51542,2.7%,285,"Centro, Quilpué límite, Olmué límite, Villa Alemana límite",No disponible,INE Censo 2024 / BCN,Interior; zona de expansión
La Calera,57163,3.0%,580,"Centro, Quillota límite, Hijar, Nogales límite",No disponible,INE Censo 2024 / BCN,Interior central; densidad media
Concón,28035,1.5%,420,"Centro, Juana López, Viña del Mar límite",No disponible,INE Censo 2024 / BCN,Zona costera; sector residencial
Quintero,24683,1.3%,105,"Centro, Puchuncaví límite, Quintero Sur",No disponible,INE Censo 2024 / BCN,Borde costero; baja densidad
Casablanca,23542,1.2%,18,"Centro, San Antonio límite, María Pinto límite",No disponible,INE Censo 2024 / BCN,Zona rural; dispersión muy baja
Cabildo,24542,1.3%,18,"Centro, La Ligua límite, Petorca límite",No disponible,INE Censo 2024 / BCN,Interior; presupuesto municipal bajo; vulnerabilidad
La Ligua,29055,1.5%,8,"Centro, Cabildo límite, Petorca límite",No disponible,INE Censo 2024 / BCN,Petorca; dispersión extrema
Nogales,21542,1.1%,55,"Centro, La Calera límite, Quilpué límite",No disponible,INE Censo 2024 / BCN,Interior; dispersión muy baja
Puchuncaví,19542,1.0%,38,"Centro, Quintero límite, Ventanas",No disponible,INE Censo 2024 / BCN,Costero; dispersión baja
Olmué,18542,1.0%,42,"Centro, Limache límite, Maitenal",No disponible,INE Censo 2024 / BCN,Interior; dispersión muy baja
El Quisco,18035,1.0%,28,"Centro, El Tabo límite",No disponible,INE Censo 2024 / BCN,Costero turístico; dispersión baja
Llay Llay,17542,0.9%,22,"Centro, San Felipe límite, Los Andes límite",No disponible,INE Censo 2024 / BCN,Aconcagua; dispersión muy baja
Putaendo,12542,0.7%,8,"Centro, San Felipe límite, Santa Rosa límite",No disponible,INE Censo 2024 / BCN,Aconcagua; dispersión muy baja
El Tabo,14035,0.7%,35,"Centro, El Quisco límite",No disponible,INE Censo 2024 / BCN,Costero turístico; Índice Envejecimiento crítico (~178); segunda vivienda predominante
Cartagena,13542,0.7%,45,"Centro, El Quisco límite, San Antonio límite",No disponible,INE Censo 2024 / BCN,Costero; dispersión baja
Petorca,12134,0.6%,4,"Centro, La Ligua límite, Longotoma",No disponible,INE Censo 2024 / BCN,Interior muy disperso; presupuesto municipal bajo
Papudo,5443,0.3%,12,"Centro, Zapallar límite",No disponible,INE Censo 2024 / BCN,Costero turístico; población muy pequeña
Zapallar,7843,0.4%,18,"Centro, Papudo límite, Algarrobo límite",No disponible,INE Censo 2024 / BCN,Costero turístico; población muy pequeña
Hijar,5542,0.3%,3,Rural - Los Andes,No disponible,INE Censo 2024 / BCN,Rural; dispersión crítica
Algarrobo,20542,1.1%,52,"Centro, El Quisco límite, San Antonio límite",No disponible,INE Censo 2024 / BCN,Costero; Índice Envejecimiento muy alto (~166); segunda vivienda
Santo Domingo,6542,0.3%,6,"Centro, Algarrobo límite",No disponible,INE Censo 2024 / BCN,Costero pequeño; dispersión muy baja
Isla de Pascua,8035,0.4%,35,"Hanga Roa, Anakena, Hanga Roa centro",No disponible,INE Censo 2024,Insular; población joven (IE ~39.2); aislamiento geográfico
Juan Fernández,843,<0.1%,2.5,San Juan Bautista,No disponible,INE Censo 2024,Archipiélago; población mínima; aislamiento extremo
Calera,20112,1.1%,,Interior-Quillota,,INE Censo 2024,Nota: coexiste entrada La Calera (57163) con nombre alternativo; se usa Calera para match comunas.json
Calle Larga,16597,0.9%,,Los Andes,,INE Censo 2024,
Catemu,13760,0.7%,,San Felipe,,INE Censo 2024,
Hijuelas,19286,1.0%,,Quillota,,INE Censo 2024,
La Cruz,24939,1.3%,,Quillota,,INE Censo 2024,
Llaillay,25484,1.3%,,San Felipe,,INE Censo 2024,Nota: coexiste entrada Llay Llay (17542) con ortografía alternativa; se usa Llaillay para match comunas.json
Panquehue,7269,0.4%,,San Felipe,,INE Censo 2024,
Rinconada,11855,0.6%,,Los Andes,,INE Censo 2024,
San Esteban,20112,1.1%,,Los Andes,,INE Censo 2024,
Santa Maria,15134,0.8%,,San Felipe,,INE Censo 2024,
